Species,Notes,Checked,Food ,Medicine,Tools,Season,Other
Lepidosperma laterale ,TOOLS The leaf base is red and is used as a contrast colour in baskets. It requires preparation to remove the cutting edges before use.,Y,,,1,,
Lepilaena cylindrocarpa ,No Use,Y,,,,,
Leptecophylla parvifolia,Food,Y,1,,,,
Leptomeria drupacea,"Food, Medicine",Y,1,1,,,
Leptospermum glaucescens,"Of the eight species in Lutruwita, five are endemic. Many species produce a lot of nectar, which makes them a favourite of bees. The honey is often marketed as manuka honey. Teatree oil is used as an anti-inflammatory, antiseptic, antibacterial and antifungal ointment.",Y,,1,,,
Leptospermum lanigerum ,"FOOD The flowers and leaves can be soaked in warm water for tea.
MEDICINE The half green leaves may be burned to function as a deterrent to biting insects around the campsite. An antiseptic is made from crushed fresh leaves.
TOOLS The bark is bundled and tied together with either Juncus or Typha. to form a canoe and the wood used to make a spear. ",Y,1,1,1,,
Leptospermum rupestre,No Information,Y,,,,,
Leptospermum scoparium ,"SEASONS For the Big River mob, the flower is an indicator of the seasonal arrival of seafoods, signalling it being time to move to the coast for gathering.
FOOD The nectar may be eaten or drunk with water.
MEDICINE The leaf and seed capsule may be crushed and used as a medicine for the mouth and body. Antiseptic poultice can be made from leaves
TOOLS The wood is used for spears, throwing sticks and walking sticks, and whole branches for huts as well as pegs for tanning skins/hides.",Y,1,1,1,1,
Leucopogon collinus  ,"The flowers and fruits of all eight Tasmanian species of Leucopogon are edible.
FOOD The fruit is a delicious berry that can be eaten fresh or dried then added to flour or stews. Robinson ‘[d]iscovered a variety of berries which the natives eat, among which were the native currant, of white colour and pleasant flavour’ (8 February 1830 in Port Davey, Friendly Mission, p. 147).
MEDICINE The raw unripe fruits can be eaten or crushed with water and drunk as a liver tonic. 
",Y,1,1,,,
Leucopogon ericoides ,"The flowers and fruits of all eight Tasmanian species of Leucopogon are edible.
FOOD The fruit is a delicious berry that can be eaten fresh or dried then added to flour or stews. Robinson ‘[d]iscovered a variety of berries which the natives eat, among which were the native currant, of white colour and pleasant flavour’ (8 February 1830 in Port Davey, Friendly Mission, p. 147).
MEDICINE The raw unripe fruits can be eaten or crushed with water and drunk as a liver tonic. 
",Y,1,1,,,
Lomandra longifolia,"Food, Tools",Y,1,,1,,
Lomatia polymorpha,Food,Y,1,,,,
Lomatia tinctoria,FOOD The flower is edible. ,Y,1,,,,
Losula ,No Information,Y,,,,,
Luzula atrata,No Use,Y,,,,,
Luzula flaccida,No Use,Y,,,,,
Lycopodium deuterodensum ,"used to induce vomitind, can have hypnotic/intoxicating effects if large dose taken",Y,,1,,,1
Lycopodium fastigiatum  ,No Use,Y,,,,,
Melaleuca pallida,"FOOD The nectar from the flower is mixed with water for a sweet drink.
MEDICINE The nectar can also aid sore throats. 
TOOLS The wood is used for tool making.",Y,1,1,1,,
Melaleuca squamea,"Food, Medicine",Y,1,1,,,
Melaleuca squarrosa ,"MEDICINE The nectar may be gathered and drunk as a remedy for a sore throat, while the leaf has antiseptic properties and is applied as a bandage to cuts and grazes. Crushed leaves can be used as an inhalant for chest complaints or as a mouth and body wash. 
TOOLS The bark is used to wrap babies and as clothing; to wrap food and to make shelter, rafts and canoes. The wood is good for making waddies, clapsticks, digging sticks and throwing sticks.",Y,,1,1,,
Melaleuca virens,Food,Y,1,,,,
Microlaena stipoides var. stipoides ,No Use,Y,,,,,
Microsorum pustulatum subsp. pustulatum  ,"FOOD The young leaves are tasty steamed or boiled. They are also great for wrapping foods like fish before cooking.
MEDICINE The leaves make good bandages.",Y,1,1,,,
Monotoca elliptica,No Information,Y,,,,,
Monotoca glauca,"Of the six native species, four are endemic.
FOOD The ripe fruit may be eaten raw.
MEDICINE Unripe fruit is made into a drink and used as a liver tonic.",Y,1,1,,,
Nematolepis squamea,Tools,Y,,,,,
Notelaea ligustrina,"Season, Food, Medicine",Y,1,1,,1,
Nothofagus cunninghamii,Food,Y,,,,,
Olearia argophylla,Food,Y,1,,,,
Olearia lirata  ,"Food The seeds are edible. Large amounts can be collected from a single bush. Dry and crush the seeds and add to bread dough, cakes or biscuits.",Y,1,,,,
Olearia phlogopappa,Tools,Y,,,1,,
Olearia viscosa,wood for clapsticks and digging sticks,Y,,,1,,
Ophioglossum lusitanicum subsp. coriaceum  ,"warm decoction of rhizome applied to boils, boiled leaves applied to wounds. Leaf juice ingested to stop heart spasms",Y,,1,,,
Orites revolutus,No Information,Y,,,,,
Oxalis exilis,Food,Y,1,,,,
Oxalis magellanica,Food,Y,1,,,,
Oxalis perennans,Food,Y,1,,,,
Oxalis sp.,Food,Y,1,,,,
Oxylobium arborescens,No Use,Y,,,,,
Oxylobium ellipticum,No Information,Y,,,,,
Oxylobium ellipticum  ,No Use,Y,,,,,
Ozothamnus gunnii,No Information,Y,,,,,
Ozothamnus hookeri,Food,Y,1,,,,
Patersonia fragilis  ,seasonal indicator,Y,,,,1,
Persoonia gunnii,"Food, Medicine",Y,1,1,,,
Persoonia juniperina,"Food, Medicine",Y,1,1,,,
Phyllocladus aspleniifolius ,No Use,Y,,,,,
Pimelea drupacea,"Tools, Medicine",Y,,1,1,,
Pimelea linifolia,"Tools, Medicine",Y,,1,1,,
Pimelea nivea,Tools,Y,,,1,,
Pimelea pauciflora,"Tools, Medicine",Y,,1,1,,
Pittosporum bicolor,Tools,Y,,,1,,
Plantago paradoxa,"Food, Medicine",Y,1,1,,,
Plantago lanceolata,"FOOD The leaves and seeds are edible.
MEDICINE The leaves are good for skin conditions, including for healing wounds.",Y,1,1,,,
Poa clivicola,No Use,Y,,,,,
Poa gunnii,"FOOD The seeds can be made into flour.
TOOLS The leaf is used for fine weaving and fine string making, while the dry leaf can be used to make fire and for hut thatching.",Y,1,,1,,
Poa labillardierei,"Food, Tools",Y,1,,1,,
Poa sieberiana var. sieberiana,"Food, Tools",Y,,,,,
Poa sp.,"Food, Tools",Y,1,,1,,
Poa tenera,"Food, Tools",Y,1,,1,,
Polystichum proliferum ,No Use,Y,,,,,
Pomaderris apetala,,Y,,,1,,
Pomaderris apetala subsp. apetala,Tools,Y,,,1,,
Pomaderris apetala ,"There are 10 species in Lutruwita.
TOOLS The wooden stems are sharpened and used as pegs for tanning skins. The straight tough stems are suitable for spears and are used for hut frames and clapsticks. 
The leaves make great toilet paper!",Y,,,1,,
Pomaderris pilifera,"There are 10 species in Lutruwita.
TOOLS The wooden stems are sharpened and used as pegs for tanning skins. The straight tough stems are suitable for spears and are used for hut frames and clapsticks. 
The leaves make great toilet paper!",Y,,,1,,
Pomaderris racemosa,"There are 10 species in Lutruwita.
TOOLS The wooden stems are sharpened and used as pegs for tanning skins. The straight tough stems are suitable for spears and are used for hut frames and clapsticks. 
The leaves make great toilet paper!",Y,,,1,,
Poranthera microphylla  ,No Use,Y,,,,,
Potamogeton ochreatus ,No Use,Y,,,,,
Prostanthera lasianthos var. lasianthos,"Food, Tools, Medicine",Y,1,1,1,,
Pteridium esculentum,"Season, Food, Medicine, Tools",Y,1,1,1,1,
Pterostylis dubia,FOOD The root may be eaten raw or cooked. Gentle harvesting with a digging stick promotes plentiful new growth.,Y,1,,,,
Pterostylis melagramma,FOOD The root may be eaten raw or cooked. Gentle harvesting with a digging stick promotes plentiful new growth.,Y,1,,,,
Pterostylis nutans,FOOD The root may be eaten raw or cooked. Gentle harvesting with a digging stick promotes plentiful new growth.,Y,1,,,,
Pterostylis sp.,Food,Y,1,,,,
Pultenaea gunnii,No Information,Y,,,,,
Pultenaea juniperina ,No Use,Y,,,,,
Ranunculus lappaceus,Food,Y,1,,,,
Ranunculus scapiger,Food,Y,1,,,,
Ranunculus sp.,Food,Y,1,,,,
Richea acerosa,No Information,Y,,,,,
Richea scoparia,,Y,1,,,,
Richea sprengelioides,Food,Y,1,,,,
Rubus gunnianus,"Food, Medicine",Y,1,1,,,
Rubus parvifolius,"Food, Medicine",Y,1,1,,,
Rumohra adiantiformis ,No Use,Y,,,,,
Rytidosperma sp.,"Food, Season",Y,1,,,1,
Schizaea fistulosa  ,No Use,Y,,,,,
Schoenus apogon ,No Use,Y,,,,,
Schoenus lepidosperma ,weaving,Y,,,,,1
Scleranthus biflorus ,No Use,Y,,,,,
Scleranthus brockiei ,No Use,Y,,,,,
Selaginella uliginosa ,"edible leaves, ",Y,1,,,,
Senecio gunnii  ,No Use,Y,,,,,
Senecio linearifolius  ,"used to treat inflammation, high doses are toxic",Y,,1,,,
Solanum laciniatum,FOOD The berries may be eaten but only when ovverripe and fallen or cooked,Y,1,,,,
Solanum vescum,No Information,Y,,,,,
Sphagnum sp.,"Food, Tools, Medicine",Y,1,1,1,,
Sprengelia incarnata,FOOD The fruit may be eaten raw.,Y,1,,,,
Stackhousia viminea,No Information,Y,,,,,
Stellaria flaccida,possibly edible,Y,1,,,,
Sticherus tener,No Use,Y,,,,,
Stylidium dilatatum,"There are five species in Lutruwita, three of which are listed as rare.
OTHER: A GAME When the flower is touched, the style snaps over suddenly. 
",Y,,,,,1
Stylidium graminifolium,Other,Y,,,,,1
Tasmannia lanceolata,"Food, Medicine",Y,1,1,,,
Telopea truncata,"Food, Medicine",Y,1,1,,,
Tetratheca pilosa,No Use,Y,,,,,
Thelymitra pauciflora,"FOOD The root tuber may be roasted and eaten. The leaves are also edible.
Plomley (Westlake Papers, 1991, pp. 23, 39, 66, 76) cites the following description, recorded about 1910 by Tasman Smith, ‘a very good witness’ and Tasmanian descendant: ‘grows about 18 inches, like a young oat with a thicker leaf, the large ones 3/4 inch wide but a grass not a vegetable. Has roots like potato, an inch long and half an inch thick; four or five. A blue flower like a potato. Roast it. Green leaves good to eat.’ While Smith mentions the Aboriginal word that would indicate he was referring to sun orchids, his reference to ‘four or five’ tubers would seem to indicate Caesia, rather than Thelymitra, which has paired tubers. 
",Y,1,,,,
Thelymitra sp.,,Y,1,,,,
Todea barbara ,"FOOD The young stem and new curled leaf are roasted and eaten.
MEDICINE The raw fronds are crushed with sap from the centre of the root to make a medicinal poultice for infected sores and insect stings.",Y,1,1,,,
Trachymene humilis,"FOOD The root and stem may be eaten raw or cooked.
MEDICINE The raw juice from the stems and tuber is good medicine for small rashes and blisters.
SENSITIVE Trachymene humilis subsp. breviscapa and Trachymene composita subsp. robertsonii are likely to qualify as threatened.",Y,1,1,,,
Trifolium,No Information,Y,,,,,
Trifolium repens,No Information,Y,,,,,
Trochocarpa cunninghamii ,"FOOD The purplish-blue berries are edible.
CAUTION Do not confuse with some other Tasmanian bluish berries, which are not edible and can be fatal.
",Y,1,,,,
Urtica incisa,"Food, Medicine",Y,1,1,,,
Veronica calycina ,No Use,Y,,,,,
Veronica gracilis ,"respiritory, gastrointestinal, urinary tract infections, and skin conditions and rheumatism",Y,,1,,,
Viola hederacea,"Lutruwita has nine native species, one of which is endemic.
FOOD The flowers can be eaten fresh and are a wonderful addition to salads.
SENSITIVE Some of these violets are rare or endangered.",Y,1,,,,
Wahlenbergia sp.,Food,Y,1,,,,
Xanthosia pilosa ,No Use,Y,,,,,
Xerochrysum subundulatum,No Information,Y,,,,,
Xyris spp.,possible medicinal uses,Y,,1,,,
Zieria arborescens subsp. arborescens,"Tools, Medicine",Y,,1,1,,
